model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-mythos-5,Claude Mythos 5,Anthropic,github_copilot,selectable_or_default,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,foundry,any_exposure,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-mythos-5,Claude Mythos 5,Anthropic,foundry,selectable_or_default,anthropic-mythos5-2026-06-09,2026-06-09,limited_preview,,,,,,,,not_recorded
claude-opus-4,Claude Opus 4,Anthropic,microsoft,any_exposure,anthropic-claude4-2025-05-22,2025-05-22,ga,github-opus4-preview-2025-05-22,2025-05-22,github-copilot,selectable,public_preview,0,0,exact
claude-opus-4,Claude Opus 4,Anthropic,microsoft,selectable_or_default,anthropic-claude4-2025-05-22,2025-05-22,ga,github-opus4-preview-2025-05-22,2025-05-22,github-copilot,selectable,public_preview,0,0,exact
claude-opus-4,Claude Opus 4,Anthropic,copilot,any_exposure,anthropic-claude4-2025-05-22,2025-05-22,ga,github-opus4-preview-2025-05-22,2025-05-22,github-copilot,selectable,public_preview,0,0,exact
claude-opus-4,Claude Opus 4,Anthropic,copilot,selectable_or_default,anthropic-claude4-2025-05-22,2025-05-22,ga,github-opus4-preview-2025-05-22,2025-05-22,github-copilot,selectable,public_preview,0,0,exact
claude-opus-4,Claude Opus 4,Anthropic,m365,any_exposure,anthropic-claude4-2025-05-22,2025-05-22,ga,,,,,,,,not_recorded
claude-opus-4,Claude Opus 4,Anthropic,m365,selectable_or_default,anthropic-claude4-2025-05-22,2025-05-22,ga,,,,,,,,not_recorded
claude-opus-4,Claude Opus 4,Anthropic,studio,any_exposure,anthropic-claude4-2025-05-22,2025-05-22,ga,,,,,,,,not_recorded
claude-opus-4,Claude Opus 4,Anthropic,studio,selectable_or_default,anthropic-claude4-2025-05-22,2025-05-22,ga,,,,,,,,not_recorded
claude-opus-4,Claude Opus 4,Anthropic,github_copilot,any_exposure,anthropic-claude4-2025-05-22,2025-05-22,ga,github-opus4-preview-2025-05-22,2025-05-22,github-copilot,selectable,public_preview,0,0,exact
claude-opus-4,Claude Opus 4,Anthropic,github_copilot,selectable_or_default,anthropic-claude4-2025-05-22,2025-05-22,ga,github-opus4-preview-2025-05-22,2025-05-22,github-copilot,selectable,public_preview,0,0,exact
claude-opus-4,Claude Opus 4,Anthropic,foundry,any_exposure,anthropic-claude4-2025-05-22,2025-05-22,ga,,,,,,,,not_recorded
claude-opus-4,Claude Opus 4,Anthropic,foundry,selectable_or_default,anthropic-claude4-2025-05-22,2025-05-22,ga,,,,,,,,not_recorded
claude-opus-4-1,Claude Opus 4.1,Anthropic,microsoft,any_exposure,anthropic-opus4-1-2025-08-05,2025-08-05,ga,m365-researcher-opus4-1-2025-09-24,2025-09-24,m365-copilot,selectable,limited_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,microsoft,selectable_or_default,anthropic-opus4-1-2025-08-05,2025-08-05,ga,m365-researcher-opus4-1-2025-09-24,2025-09-24,m365-copilot,selectable,limited_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,copilot,any_exposure,anthropic-opus4-1-2025-08-05,2025-08-05,ga,m365-researcher-opus4-1-2025-09-24,2025-09-24,m365-copilot,selectable,limited_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,copilot,selectable_or_default,anthropic-opus4-1-2025-08-05,2025-08-05,ga,m365-researcher-opus4-1-2025-09-24,2025-09-24,m365-copilot,selectable,limited_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,m365,any_exposure,anthropic-opus4-1-2025-08-05,2025-08-05,ga,m365-researcher-opus4-1-2025-09-24,2025-09-24,m365-copilot,selectable,limited_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,m365,selectable_or_default,anthropic-opus4-1-2025-08-05,2025-08-05,ga,m365-researcher-opus4-1-2025-09-24,2025-09-24,m365-copilot,selectable,limited_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,studio,any_exposure,anthropic-opus4-1-2025-08-05,2025-08-05,ga,studio-opus4-1-2025-09-24,2025-09-24,copilot-studio,selectable,public_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,studio,selectable_or_default,anthropic-opus4-1-2025-08-05,2025-08-05,ga,studio-opus4-1-2025-09-24,2025-09-24,copilot-studio,selectable,public_preview,50,50,exact
claude-opus-4-1,Claude Opus 4.1,Anthropic,github_copilot,any_exposure,anthropic-opus4-1-2025-08-05,2025-08-05,ga,,,,,,,,not_recorded
claude-opus-4-1,Claude Opus 4.1,Anthropic,github_copilot,selectable_or_default,anthropic-opus4-1-2025-08-05,2025-08-05,ga,,,,,,,,not_recorded
claude-opus-4-1,Claude Opus 4.1,Anthropic,foundry,any_exposure,anthropic-opus4-1-2025-08-05,2025-08-05,ga,foundry-opus4-1-2025-11-18,2025-11-18,microsoft-foundry,catalogue,public_preview,105,105,exact
